developer_name,folder_category,source_file,source_format,file_size_kb,records_extracted_count,extraction_engines_used,status
Kalyani Developers,Kalyani Developers,"Kalyani Developers\July 2026 Kalyani Developers - Bangalore & Hyderabad--Availability Conventional , Managed Space & Industrial.xlsx",XLSX,35.41,18,"Excel Transposed Matrix (Industrial 2026), Excel Transposed Matrix (Managed Office -2026), Excel Transposed Matrix (Warmshell&Furnished-2026)",100% EXTRACTED
Nitesh Estates,Nitesh Estates,Nitesh Estates\July 2026.xlsx,XLSX,9.56,2,Excel Transposed Matrix (Sheet1),100% EXTRACTED
Park Square whitefield,Park Square whitefield,Park Square whitefield\WhatsApp Image 2026-08-05 at 1.37.45 PM.jpeg,IMAGE,224.9,16,Tesseract OCR Image,100% EXTRACTED
Phoenix Mills,Phoenix Mills,Phoenix Mills\WhatsApp Image 2026-07-17 at 3.18.58 PM.jpeg,IMAGE,77.39,18,Tesseract OCR Image,100% EXTRACTED
Prestige Bangalore Office,Prestige Bangalore Office,Prestige Bangalore Office\Prestige Bangalore Office Availability - July 2026.pdf,PDF_NATIVE,2557.72,32,"PDF Table (Pg 4), PDF Table (Pg 5), PDF Table (Pg 6), PDF Text Analysis (Pg 10), PDF Text Analysis (Pg 11), PDF Text Analysis (Pg 12), PDF Text Analysis (Pg 14), PDF Text Analysis (Pg 15), PDF Text Analysis (Pg 16), PDF Text Analysis (Pg 17), PDF Text Analysis (Pg 18), PDF Text Analysis (Pg 20), PDF Text Analysis (Pg 21), PDF Text Analysis (Pg 23), PDF Text Analysis (Pg 25), PDF Text Analysis (Pg 3), PDF Text Analysis (Pg 7), PDF Text Analysis (Pg 8)",100% EXTRACTED
Prestige Group,Prestige Group,Prestige Group\Prestige Bangalore Office Availability - July 2026.pdf,PDF_NATIVE,2557.72,32,"PDF Table (Pg 4), PDF Table (Pg 5), PDF Table (Pg 6), PDF Text Analysis (Pg 10), PDF Text Analysis (Pg 11), PDF Text Analysis (Pg 12), PDF Text Analysis (Pg 14), PDF Text Analysis (Pg 15), PDF Text Analysis (Pg 16), PDF Text Analysis (Pg 17), PDF Text Analysis (Pg 18), PDF Text Analysis (Pg 20), PDF Text Analysis (Pg 21), PDF Text Analysis (Pg 23), PDF Text Analysis (Pg 25), PDF Text Analysis (Pg 3), PDF Text Analysis (Pg 7), PDF Text Analysis (Pg 8)",100% EXTRACTED
Prestige Group,Prestige Group,Prestige Group\Prestige Tech Cloud - proposal Altus Block - 09.06.2026.pdf,PDF_NATIVE,23191.53,15,"PDF Table (Pg 32), PDF Table (Pg 4), PDF Text Analysis (Pg 26), PDF Text Analysis (Pg 27), PDF Text Analysis (Pg 28), PDF Text Analysis (Pg 9)",100% EXTRACTED
Puravankara Commercial,Puravankara Commercial,Puravankara Commercial\July Availability.pdf,PDF_NATIVE,453.92,1,PDF Text Analysis (Pg 1),100% EXTRACTED
RMZ Corp,RMZ Corp,RMZ Corp\Commercial Proposal - RMZ Ecoworld 20.pdf,PDF_NATIVE,300.78,40,PDF Table (Pg 1),100% EXTRACTED
RMZ Corp,RMZ Corp,RMZ Corp\RMZ Corp.JPG,IMAGE,45.55,16,Tesseract OCR Image,100% EXTRACTED
RMZ Corp,RMZ Corp,RMZ Corp\RMZ Ecoworld 20 and 30_Overview.pdf,PDF_NATIVE,10181.1,3,"PDF Text Analysis (Pg 13), PDF Text Analysis (Pg 5), PDF Text Analysis (Pg 8)",100% EXTRACTED
SLK Green Group Corporate Real Estate & Infrastructure Arm  Amin Properties LLP,SLK Green Group Corporate Real Estate & Infrastructure Arm  Amin Properties LLP,SLK Green Group Corporate Real Estate & Infrastructure Arm  Amin Properties LLP\Assets - SLK Group - Details.pdf,PDF_NATIVE,177.57,62,PDF Table (Pg 1),100% EXTRACTED
SLK Green Group Corporate Real Estate & Infrastructure Arm  Amin Properties LLP,SLK Green Group Corporate Real Estate & Infrastructure Arm  Amin Properties LLP,SLK Green Group Corporate Real Estate & Infrastructure Arm  Amin Properties LLP\F P1.jpg,IMAGE,663.09,119,Tesseract OCR Image,100% EXTRACTED
SLK Green Group Corporate Real Estate & Infrastructure Arm  Amin Properties LLP,SLK Green Group Corporate Real Estate & Infrastructure Arm  Amin Properties LLP,SLK Green Group Corporate Real Estate & Infrastructure Arm  Amin Properties LLP\F P2.jpg,IMAGE,651.2,68,Tesseract OCR Image,100% EXTRACTED
SLK Green Group Corporate Real Estate & Infrastructure Arm  Amin Properties LLP,SLK Green Group Corporate Real Estate & Infrastructure Arm  Amin Properties LLP,SLK Green Group Corporate Real Estate & Infrastructure Arm  Amin Properties LLP\F P3.jpg,IMAGE,601.7,72,Tesseract OCR Image,100% EXTRACTED
SLK Green Group Corporate Real Estate & Infrastructure Arm  Amin Properties LLP,SLK Green Group Corporate Real Estate & Infrastructure Arm  Amin Properties LLP,SLK Green Group Corporate Real Estate & Infrastructure Arm  Amin Properties LLP\SLK Green Park - Campus Devanahalli Bengaluru.pdf,PDF_NATIVE,5252.6,2,"PDF Text Analysis (Pg 8), PDF Text Analysis (Pg 9)",100% EXTRACTED
SLK Green Group Corporate Real Estate & Infrastructure Arm  Amin Properties LLP,SLK Green Group Corporate Real Estate & Infrastructure Arm  Amin Properties LLP,SLK Green Group Corporate Real Estate & Infrastructure Arm  Amin Properties LLP\SLK Green Park Asset - Amin Properties LLP.pdf,PDF_NATIVE,176.3,60,"PDF Table (Pg 1), PDF Table (Pg 2)",100% EXTRACTED
